OBJECTID,YEAR_PM25_sample_pnt,X,Y,ymean_2020_AOD47,ymean_2020_nNDVI,ymean_2020_TMP,ymean_2020_SPFH,ymean_2020_WIND,ymean_2020_HGT,ymean_2020_PM25
143,143,-94.415743596224615,47.675276469380719,0.2120683,0.4549522,4.9665694,0.0053571,2.2450001,414.3515625,5.6765842
144,144,-93.792537367866601,47.675276469380719,0.1970881,0.4943956,4.4625053,0.0052307,1.9436620,414.4570312,5.6748147
145,145,-93.169331139508699,47.675276469380719,0.1944596,0.4943956,4.5596256,0.0049634,2.1701751,426.0976562,5.7125235
146,146,-92.546124911150798,47.675276469380719,0.1955753,0.4953913,4.3552432,0.0050379,2.5540469,447.7382812,5.6580267
147,147,-91.922918682792897,47.675276469380719,0.2100551,0.4928435,4.0823812,0.0049779,2.6782157,470.2968750,5.5843067
148,148,-91.299712454434939,47.675276469380719,0.2024586,0.4830478,3.7955616,0.0048081,2.5673912,532.9609375,5.5655980
149,149,-90.676506226077038,47.675276469380719,0.1896208,0.4021348,4.7136359,0.0049471,4.0933156,239.2968750,5.7153473
150,150,-123.706436329046596,47.052070241022875,0.2281111,0.7593000,10.4762716,0.0070377,2.6835485,66.0664062,8.5350075
151,151,-123.083230100688809,47.052070241022875,0.2229081,0.7139609,10.8108921,0.0065759,1.9807192,72.7812500,9.9666977
152,152,-122.460023872330908,47.052070241022875,0.2049573,0.5889913,10.9911289,0.0066783,1.9627038,107.7695312,11.7876902
153,153,-121.836817643972893,47.052070241022875,0.1619297,0.5889913,9.1535368,0.0063783,2.2778721,516.7460938,9.0170116
154,154,-121.213611415614992,47.052070241022875,0.1922936,0.5779957,5.1459165,0.0048963,3.3277488,1388.3046875,7.0097980
155,155,-120.590405187257090,47.052070241022875,0.1972055,0.4333957,8.5692587,0.0047388,3.5200415,856.7265625,7.0788655
156,156,-119.967198958899189,47.052070241022875,0.2138635,0.3817696,11.4349728,0.0049208,3.2394400,406.3203125,8.9161167
157,157,-119.343992730541288,47.052070241022875,0.2064915,0.3310217,11.1361990,0.0049326,2.9858117,367.4648438,11.8651180
158,158,-118.720786502183387,47.052070241022875,0.2332983,0.3310217,10.6439886,0.0050465,3.3551164,429.7343750,12.8112183
159,159,-118.097580273825429,47.052070241022875,0.2442607,0.3169217,10.4514942,0.0048618,3.2878928,542.0625000,11.8988008
160,160,-117.474374045467528,47.052070241022875,0.3016543,0.3820478,9.4080133,0.0049410,3.2870829,720.9023438,11.4862890
161,161,-116.851167817109626,47.052070241022875,0.2269466,0.5449174,8.3960590,0.0050008,2.5601668,914.7890625,12.0934477
162,162,-116.227961588751725,47.052070241022875,0.2203156,0.5322609,7.3374729,0.0051527,1.8439932,1036.7421875,12.1216860
163,163,-115.604755360393824,47.052070241022875,0.2210909,0.5322609,5.0077858,0.0048881,2.8357415,1507.6640625,9.6581802
164,164,-114.981549132035866,47.052070241022875,0.2229186,0.5069348,5.5355449,0.0048063,3.0452416,1500.4101562,9.1481056
165,165,-114.358342903677965,47.052070241022875,0.2565882,0.4940782,6.0766921,0.0047868,2.5908682,1365.5351562,8.9781532
166,166,-113.735136675320064,47.052070241022875,0.2251583,0.4277087,4.6727276,0.0046249,3.6900797,1621.1406250,7.7694988
167,167,-113.111930446962049,47.052070241022875,0.2472836,0.4277087,2.2637517,0.0042355,4.4255519,1968.3085938,6.8704691
168,168,-112.488724218604148,47.052070241022875,0.2305407,0.3490435,4.9718881,0.0042785,4.2366648,1663.5156250,7.0830836
169,169,-111.865517990246246,47.052070241022875,0.2155630,0.3568522,6.1528153,0.0041937,3.8903663,1531.3242188,8.5784836
170,170,-111.242311761888288,47.052070241022875,0.2041433,0.4333696,5.7740316,0.0042332,3.9899161,1575.1796875,8.3658400
171,171,-110.619105533530387,47.052070241022875,0.2058664,0.3838087,5.7204289,0.0040794,5.2511744,1644.8906250,8.3965187
172,172,-109.995899305172486,47.052070241022875,0.2607348,0.3838087,7.2852707,0.0042705,4.5193758,1216.8906250,7.8724585
173,173,-109.372693076814585,47.052070241022875,0.2481468,0.3612130,6.5399709,0.0042100,4.8045468,1313.8242188,7.6598806
174,174,-108.749486848456684,47.052070241022875,0.2380842,0.3394913,7.7193270,0.0043161,4.6305885,1112.8984375,7.7331328
175,175,-108.126280620098782,47.052070241022875,0.2313918,0.2688522,8.3968000,0.0046403,3.5089166,876.1992188,7.8681493
